PDB_ID	Oligomer_type	Experimental_method	Resolution(Å)	Chain_ID	Uniprot_ID	Covered_residues	Coverage
3Q8D	hetero_dimer	X-ray diffraction	2.3	A	P0A7H3	241	1.0
3Q8D	hetero_dimer	X-ray diffraction	2.3	B	P0A7H3	241	1.0
3Q8D	hetero_dimer	X-ray diffraction	2.3	E	P0AGE0	8	0.051
3Q8D	hetero_dimer	X-ray diffraction	2.3	F	P0AGE0	8	0.051
4BFI	hetero_dimer	X-ray diffraction	3.22	A	Q9ES57	202	0.674
4BFI	hetero_dimer	X-ray diffraction	3.22	B	O54901	201	0.815
4OFY	hetero_dimer	X-ray diffraction	3.3	A	B1Q236	252	0.355
4OFY	hetero_dimer	X-ray diffraction	3.3	B	B1Q236	252	0.355
4OFY	hetero_dimer	X-ray diffraction	3.3	C	B1Q236	252	0.355
4OFY	hetero_dimer	X-ray diffraction	3.3	D	Q9U3P2	410	0.329
4OFY	hetero_dimer	X-ray diffraction	3.3	E	Q9U3P2	410	0.329
4OFY	hetero_dimer	X-ray diffraction	3.3	F	Q9U3P2	410	0.329
5XCO	hetero_dimer	X-ray diffraction	1.25	A	P01116	168	0.894
5XCO	hetero_dimer	X-ray diffraction	1.25	B	Not Mapped	Not Mapped	Not Mapped
1BJ1	hetero_hexamer	X-ray diffraction	2.4	J	Not Mapped	Not Mapped	Not Mapped
1BJ1	hetero_hexamer	X-ray diffraction	2.4	L	Not Mapped	Not Mapped	Not Mapped
1BJ1	hetero_hexamer	X-ray diffraction	2.4	H	Not Mapped	Not Mapped	Not Mapped
1BJ1	hetero_hexamer	X-ray diffraction	2.4	K	Not Mapped	Not Mapped	Not Mapped
1BJ1	hetero_hexamer	X-ray diffraction	2.4	V	P15692	101	0.258
1BJ1	hetero_hexamer	X-ray diffraction	2.4	W	P15692	101	0.258
1JCK	hetero_tetramer	X-ray diffraction	3.5	A	Not Mapped	Not Mapped	Not Mapped
1JCK	hetero_tetramer	X-ray diffraction	3.5	C	Not Mapped	Not Mapped	Not Mapped
1JCK	hetero_tetramer	X-ray diffraction	3.5	B	P0A0L5	238	1.0
1JCK	hetero_tetramer	X-ray diffraction	3.5	D	P0A0L5	238	1.0
2SIC	hetero_tetramer	X-ray diffraction	1.8	E	P00782	274	0.781
2SIC	hetero_tetramer	X-ray diffraction	1.8	I	P01006	106	0.947
3AAA	hetero_dimer	X-ray diffraction	2.2	A	P13127	285	1.0
3AAA	hetero_dimer	X-ray diffraction	2.2	B	P14315	276	1.0
3AAA	hetero_dimer	X-ray diffraction	2.2	C	P58546	117	1.0
3EQS	hetero_dimer	X-ray diffraction	1.65	A	Q00987	84	0.173
3EQS	hetero_dimer	X-ray diffraction	1.65	B	Not Mapped	Not Mapped	Not Mapped
3MZG	hetero_dimer	X-ray diffraction	2.1	A	P01236	184	0.93
3MZG	hetero_dimer	X-ray diffraction	2.1	B	P16471	209	0.351
1AHW	hetero_hexamer	X-ray diffraction	3.0	A	P01837	106	1.0
1AHW	hetero_hexamer	X-ray diffraction	3.0	D	P01837	106	1.0
1AHW	hetero_hexamer	X-ray diffraction	3.0	B	P01868	96	0.299
1AHW	hetero_hexamer	X-ray diffraction	3.0	E	P01868	96	0.299
1AHW	hetero_hexamer	X-ray diffraction	3.0	C	P13726	218	0.833
1AHW	hetero_hexamer	X-ray diffraction	3.0	F	P13726	218	0.833
1BD2	hetero_pentamer	X-ray diffraction	2.5	A	P04439	274	0.806
1BD2	hetero_pentamer	X-ray diffraction	2.5	B	P61769	98	1.0
1BD2	hetero_pentamer	X-ray diffraction	2.5	C	P0C213	8	0.025
1BD2	hetero_pentamer	X-ray diffraction	2.5	D	P01848,P04437	90	0.929
1BD2	hetero_pentamer	X-ray diffraction	2.5	E	A0A0K0K1A5,A0A5B9	128	0.725
1MAH	hetero_tetramer	X-ray diffraction	3.2	A	P21836	542	0.931
1MAH	hetero_tetramer	X-ray diffraction	3.2	F	P0C1Z0	60	1.0
3N85	hetero_nonamer	X-ray diffraction	3.2	A	P04626	623	0.506
3N85	hetero_nonamer	X-ray diffraction	3.2	L	Not Mapped	Not Mapped	Not Mapped
3N85	hetero_nonamer	X-ray diffraction	3.2	H	Not Mapped	Not Mapped	Not Mapped
4B0M	hetero_trimer	X-ray diffraction	1.8	A	P26949	135	0.165
4B0M	hetero_trimer	X-ray diffraction	1.8	B	P26948	148	1.0
4B0M	hetero_trimer	X-ray diffraction	1.8	M	P26926	234	0.987
4NM8	hetero_dodecamer	X-ray diffraction	4.0041	A	Q91MA7	318	0.58
4NM8	hetero_dodecamer	X-ray diffraction	4.0041	C	Q91MA7	318	0.58
4NM8	hetero_dodecamer	X-ray diffraction	4.0041	E	Q91MA7	318	0.58
4NM8	hetero_dodecamer	X-ray diffraction	4.0041	B	Q91MA7	175	0.32
4NM8	hetero_dodecamer	X-ray diffraction	4.0041	D	Q91MA7	175	0.32
4NM8	hetero_dodecamer	X-ray diffraction	4.0041	F	Q91MA7	175	0.32
4NM8	hetero_dodecamer	X-ray diffraction	4.0041	L	P01834	106	1.0
4NM8	hetero_dodecamer	X-ray diffraction	4.0041	M	P01834	106	1.0
4NM8	hetero_dodecamer	X-ray diffraction	4.0041	N	P01834	106	1.0
4NM8	hetero_dodecamer	X-ray diffraction	4.0041	H	S6C4S0	223	0.875
4NM8	hetero_dodecamer	X-ray diffraction	4.0041	I	S6C4S0	223	0.875
4NM8	hetero_dodecamer	X-ray diffraction	4.0041	J	S6C4S0	223	0.875
1FCC	hetero_tetramer	X-ray diffraction	3.2	A	P01857	205	0.516
1FCC	hetero_tetramer	X-ray diffraction	3.2	B	P01857	205	0.516
1FCC	hetero_tetramer	X-ray diffraction	3.2	C	P19909	55	0.1
1FCC	hetero_tetramer	X-ray diffraction	3.2	D	P19909	55	0.1
1NMB	hetero_dodecamer	X-ray diffraction	2.2	N	P05803	469	1.0
1NMB	hetero_dodecamer	X-ray diffraction	2.2	L	Not Mapped	Not Mapped	Not Mapped
1NMB	hetero_dodecamer	X-ray diffraction	2.2	H	Not Mapped	Not Mapped	Not Mapped
4CPA	hetero_dimer	X-ray diffraction	2.5	A	P00730	306	0.762
4CPA	hetero_dimer	X-ray diffraction	2.5	B	P00730	306	0.762
4CPA	hetero_dimer	X-ray diffraction	2.5	I	P01075	37	0.974
4CPA	hetero_dimer	X-ray diffraction	2.5	J	P01075	37	0.974
4CVW	hetero_dimer	X-ray diffraction	2.67	A	O48541,O48541	400	0.977
4CVW	hetero_dimer	X-ray diffraction	2.67	B	O48541,O48541	400	0.977
4CVW	hetero_dimer	X-ray diffraction	2.67	C	Q2V8X0	113	0.927
4CVW	hetero_dimer	X-ray diffraction	2.67	D	Q2V8X0	113	0.927
4HFK	hetero_tetramer	X-ray diffraction	2.1	A	A0A0H3CIJ2	162	1.0
4HFK	hetero_tetramer	X-ray diffraction	2.1	C	A0A0H3CIJ2	162	1.0
4HFK	hetero_tetramer	X-ray diffraction	2.1	B	A0A0H3CIX8	98	1.0
4HFK	hetero_tetramer	X-ray diffraction	2.1	D	A0A0H3CIX8	98	1.0
4JPK	hetero_trimer	X-ray diffraction	2.4	H	Not Mapped	Not Mapped	Not Mapped
4JPK	hetero_trimer	X-ray diffraction	2.4	L	Not Mapped	Not Mapped	Not Mapped
4JPK	hetero_trimer	X-ray diffraction	2.4	A	P04578	115	0.141
5E9D	hetero_pentamer	X-ray diffraction	2.51	A	P04439	274	0.806
5E9D	hetero_pentamer	X-ray diffraction	2.51	F	P04439	274	0.806
5E9D	hetero_pentamer	X-ray diffraction	2.51	B	P61769	98	1.0
5E9D	hetero_pentamer	X-ray diffraction	2.51	G	P61769	98	1.0
5E9D	hetero_pentamer	X-ray diffraction	2.51	C	Q16655	9	0.085
5E9D	hetero_pentamer	X-ray diffraction	2.51	H	Q16655	9	0.085
5E9D	hetero_pentamer	X-ray diffraction	2.51	D	A0A075B6T6	90	0.978
5E9D	hetero_pentamer	X-ray diffraction	2.51	I	A0A075B6T6	90	0.978
5E9D	hetero_pentamer	X-ray diffraction	2.51	E	A0A0K0K1A5	92	0.978
5E9D	hetero_pentamer	X-ray diffraction	2.51	J	A0A0K0K1A5	92	0.978
5TAR	hetero_dimer	X-ray diffraction	1.9	A	P01116	183	0.974
5TAR	hetero_dimer	X-ray diffraction	1.9	B	O43924	147	0.987
1GCQ	hetero_trimer	X-ray diffraction	1.68	A	P62993	58	0.272
1GCQ	hetero_trimer	X-ray diffraction	1.68	B	P62993	58	0.272
1GCQ	hetero_trimer	X-ray diffraction	1.68	C	P27870	65	0.078
2AJF	hetero_dimer	X-ray diffraction	2.9	A	Q9BYF1	596	0.758
2AJF	hetero_dimer	X-ray diffraction	2.9	B	Q9BYF1	596	0.758
2AJF	hetero_dimer	X-ray diffraction	2.9	E	P59594	179	0.145
2AJF	hetero_dimer	X-ray diffraction	2.9	F	P59594	179	0.145
2B0U	hetero_tetramer	X-ray diffraction	2.8	A	P08476	115	0.286
2B0U	hetero_tetramer	X-ray diffraction	2.8	B	P08476	115	0.286
2B0U	hetero_tetramer	X-ray diffraction	2.8	C	P19883	287	0.914
2B0U	hetero_tetramer	X-ray diffraction	2.8	D	P19883	287	0.914
2O3B	hetero_dimer	X-ray diffraction	2.3	A	P38446	239	0.96
2O3B	hetero_dimer	X-ray diffraction	2.3	B	A0ACD6B9A1	133	0.993
3B4V	hetero_tetramer	X-ray diffraction	2.48	A	P08476	115	0.286
3B4V	hetero_tetramer	X-ray diffraction	2.48	B	P08476	115	0.286
3B4V	hetero_tetramer	X-ray diffraction	2.48	E	P08476	115	0.286
3B4V	hetero_tetramer	X-ray diffraction	2.48	F	P08476	115	0.286
3B4V	hetero_tetramer	X-ray diffraction	2.48	C	O95633	236	1.0
3B4V	hetero_tetramer	X-ray diffraction	2.48	D	O95633	236	1.0
3B4V	hetero_tetramer	X-ray diffraction	2.48	G	O95633	236	1.0
3B4V	hetero_tetramer	X-ray diffraction	2.48	H	O95633	236	1.0
3BX1	hetero_dimer	X-ray diffraction	1.85	A	P29600	268	1.0
3BX1	hetero_dimer	X-ray diffraction	1.85	B	P29600	268	1.0
3BX1	hetero_dimer	X-ray diffraction	1.85	C	P07596	180	1.0
3BX1	hetero_dimer	X-ray diffraction	1.85	D	P07596	180	1.0
3F1S	hetero_dimer	X-ray diffraction	2.3	A	Q9UK55	384	0.91
3F1S	hetero_dimer	X-ray diffraction	2.3	B	P22891	275	0.732
3HH2	hetero_tetramer	X-ray diffraction	2.15	A	O08689	108	0.31
3HH2	hetero_tetramer	X-ray diffraction	2.15	B	O08689	108	0.31
3HH2	hetero_tetramer	X-ray diffraction	2.15	C	P19883	287	0.914
3HH2	hetero_tetramer	X-ray diffraction	2.15	D	P19883	287	0.914
3SEK	hetero_tetramer	X-ray diffraction	2.401	B	O08689	108	0.31
3SEK	hetero_tetramer	X-ray diffraction	2.401	C	O95633	208	0.882
4L3E	hetero_pentamer	X-ray diffraction	2.557	A	P04439	274	0.806
4L3E	hetero_pentamer	X-ray diffraction	2.557	B	P61769	98	1.0
4L3E	hetero_pentamer	X-ray diffraction	2.557	C	Q16655	9	0.085
4L3E	hetero_pentamer	X-ray diffraction	2.557	D	Not Mapped	Not Mapped	Not Mapped
4L3E	hetero_pentamer	X-ray diffraction	2.557	E	Not Mapped	Not Mapped	Not Mapped
5E6P	hetero_dimer	X-ray diffraction	3.215	A	B2RXS4	616	0.338
5E6P	hetero_dimer	X-ray diffraction	3.215	B	O15085	83	0.055
1E96	hetero_dimer	X-ray diffraction	2.4	A	P63000	190	0.995
1E96	hetero_dimer	X-ray diffraction	2.4	B	P19878	202	0.386
1ACB	hetero_dimer	X-ray diffraction	2.0	E	P00766	244	1.0
1ACB	hetero_dimer	X-ray diffraction	2.0	I	P01051	69	1.0
1CSE	hetero_dimer	X-ray diffraction	1.2	E	P00780	273	0.783
1CSE	hetero_dimer	X-ray diffraction	1.2	I	P01051	69	1.0
1H9D	hetero_tetramer	X-ray diffraction	2.6	A	Q01196	133	0.296
1H9D	hetero_tetramer	X-ray diffraction	2.6	C	Q01196	133	0.296
1H9D	hetero_tetramer	X-ray diffraction	2.6	B	Q13951	133	0.736
1H9D	hetero_tetramer	X-ray diffraction	2.6	D	Q13951	133	0.736
1S1Q	hetero_dimer	X-ray diffraction	2.0	A	Q99816	144	0.372
1S1Q	hetero_dimer	X-ray diffraction	2.0	C	Q99816	144	0.372
1S1Q	hetero_dimer	X-ray diffraction	2.0	B	P0CG48	75	0.111
1S1Q	hetero_dimer	X-ray diffraction	2.0	D	P0CG48	75	0.111
2PCB	hetero_dimer	X-ray diffraction	2.8	A	P00431	293	0.814
2PCB	hetero_dimer	X-ray diffraction	2.8	C	P00431	293	0.814
2PCB	hetero_dimer	X-ray diffraction	2.8	B	P00004	103	0.99
2PCC	hetero_dimer	X-ray diffraction	2.3	A	P00431	293	0.814
2PCC	hetero_dimer	X-ray diffraction	2.3	C	P00431	293	0.814
2PCC	hetero_dimer	X-ray diffraction	2.3	B	P00044	107	0.991
2PCC	hetero_dimer	X-ray diffraction	2.3	D	P00044	107	0.991
3KBH	hetero_tetramer	X-ray diffraction	3.31	A	Q9BYF1	596	0.758
3KBH	hetero_tetramer	X-ray diffraction	3.31	B	Q9BYF1	596	0.758
3KBH	hetero_tetramer	X-ray diffraction	3.31	C	Q9BYF1	596	0.758
3KBH	hetero_tetramer	X-ray diffraction	3.31	D	Q9BYF1	596	0.758
3KBH	hetero_tetramer	X-ray diffraction	3.31	E	Q6Q1S2	135	0.102
3KBH	hetero_tetramer	X-ray diffraction	3.31	F	Q6Q1S2	135	0.102
3KBH	hetero_tetramer	X-ray diffraction	3.31	G	Q6Q1S2	135	0.102
3KBH	hetero_tetramer	X-ray diffraction	3.31	H	Q6Q1S2	135	0.102
3VR6	hetero_octamer	X-ray diffraction	2.68	A	Q08636	592	1.0
3VR6	hetero_octamer	X-ray diffraction	2.68	B	Q08636	592	1.0
3VR6	hetero_octamer	X-ray diffraction	2.68	C	Q08636	592	1.0
3VR6	hetero_octamer	X-ray diffraction	2.68	D	Q08637	457	1.0
3VR6	hetero_octamer	X-ray diffraction	2.68	E	Q08637	457	1.0
3VR6	hetero_octamer	X-ray diffraction	2.68	F	Q08637	457	1.0
3VR6	hetero_octamer	X-ray diffraction	2.68	G	P43435	209	1.0
3VR6	hetero_octamer	X-ray diffraction	2.68	H	P43455	102	1.0
4FTV	hetero_pentamer	X-ray diffraction	2.74	A	P04439	274	0.806
4FTV	hetero_pentamer	X-ray diffraction	2.74	B	P61769	98	1.0
4FTV	hetero_pentamer	X-ray diffraction	2.74	C	P0C213	8	0.025
4FTV	hetero_pentamer	X-ray diffraction	2.74	D	Not Mapped	Not Mapped	Not Mapped
4FTV	hetero_pentamer	X-ray diffraction	2.74	E	Not Mapped	Not Mapped	Not Mapped
4JEU	hetero_dimer	X-ray diffraction	3.2	A	P61765	589	0.993
4JEU	hetero_dimer	X-ray diffraction	3.2	B	P32851	241	0.84
4JFF	hetero_pentamer	X-ray diffraction	2.43	A	P04439	274	0.806
4JFF	hetero_pentamer	X-ray diffraction	2.43	B	P61769	98	1.0
4JFF	hetero_pentamer	X-ray diffraction	2.43	C	Q16655	9	0.085
4JFF	hetero_pentamer	X-ray diffraction	2.43	D	P01848	86	0.621
4JFF	hetero_pentamer	X-ray diffraction	2.43	E	P01850	128	0.733
4K71	hetero_trimer	X-ray diffraction	2.4	A	P02768	584	0.99
4K71	hetero_trimer	X-ray diffraction	2.4	D	P02768	584	0.99
4K71	hetero_trimer	X-ray diffraction	2.4	B	P55899	273	0.801
4K71	hetero_trimer	X-ray diffraction	2.4	E	P55899	273	0.801
4K71	hetero_trimer	X-ray diffraction	2.4	C	P61769	98	1.0
4K71	hetero_trimer	X-ray diffraction	2.4	F	P61769	98	1.0
4L0P	hetero_dimer	X-ray diffraction	2.26	A	P29320	172	0.18
4L0P	hetero_dimer	X-ray diffraction	2.26	B	P52803	139	0.673
4X4M	hetero_trimer	X-ray diffraction	3.485	A	P01857	216	0.544
4X4M	hetero_trimer	X-ray diffraction	3.485	B	P01857	216	0.544
4X4M	hetero_trimer	X-ray diffraction	3.485	C	P01857	216	0.544
4X4M	hetero_trimer	X-ray diffraction	3.485	D	P01857	216	0.544
4X4M	hetero_trimer	X-ray diffraction	3.485	E	P12314	268	0.749
4X4M	hetero_trimer	X-ray diffraction	3.485	F	P12314	268	0.749
4YFD	hetero_dimer	X-ray diffraction	3.253	B	Q61730	330	0.602
4YFD	hetero_dimer	X-ray diffraction	3.253	A	Q64487	490	0.26
1SMF	hetero_dimer	X-ray diffraction	2.1	E	P00760	222	0.974
1SMF	hetero_dimer	X-ray diffraction	2.1	I	P01062	21	0.306
1UUZ	hetero_dimer	X-ray diffraction	1.8	A	Q9HXB1	128	1.0
1UUZ	hetero_dimer	X-ray diffraction	1.8	B	Q9HXB1	128	1.0
1UUZ	hetero_dimer	X-ray diffraction	1.8	C	P00698	128	1.0
1UUZ	hetero_dimer	X-ray diffraction	1.8	D	P00698	128	1.0
2DVW	hetero_dimer	X-ray diffraction	2.3	A	Q9Z2X2	230	1.0
2DVW	hetero_dimer	X-ray diffraction	2.3	B	P43686	81	0.196
2KSO	hetero_dimer	Solution NMR		A	P29317	64	0.068
2KSO	hetero_dimer	Solution NMR		B	O15357	58	0.047
3R9A	hetero_tetramer	X-ray diffraction	2.35	A	P21549	391	1.0
3R9A	hetero_tetramer	X-ray diffraction	2.35	C	P21549	391	1.0
3R9A	hetero_tetramer	X-ray diffraction	2.35	B	P50542	324	0.509
3R9A	hetero_tetramer	X-ray diffraction	2.35	D	P50542	324	0.509
3SF4	hetero_dimer	X-ray diffraction	2.6	A	P81274	401	0.588
3SF4	hetero_dimer	X-ray diffraction	2.6	B	P81274	401	0.588
3SF4	hetero_dimer	X-ray diffraction	2.6	C	P81274	401	0.588
3SF4	hetero_dimer	X-ray diffraction	2.6	D	Q1MX18	46	0.081
3SF4	hetero_dimer	X-ray diffraction	2.6	E	Q1MX18	46	0.081
3SF4	hetero_dimer	X-ray diffraction	2.6	F	Q1MX18	46	0.081
3UIG	hetero_tetramer	X-ray diffraction	2.4	A	O15392	141	1.0
3UIG	hetero_tetramer	X-ray diffraction	2.4	B	O15392	141	1.0
3UIG	hetero_tetramer	X-ray diffraction	2.4	P	P68431	14	0.11
3UIG	hetero_tetramer	X-ray diffraction	2.4	Q	P68431	14	0.11
4J2L	hetero_dimer	X-ray diffraction	3.15	A	P54253	126	0.156
4J2L	hetero_dimer	X-ray diffraction	3.15	B	P54253	126	0.156
4J2L	hetero_dimer	X-ray diffraction	3.15	C	Q96RK0	25	0.01
4J2L	hetero_dimer	X-ray diffraction	3.15	D	Q96RK0	25	0.01
4YH7	hetero_dimer	X-ray diffraction	4.4	A	Q64487	833	0.441
4YH7	hetero_dimer	X-ray diffraction	4.4	B	P59823	333	0.489
5CXB	hetero_dimer	X-ray diffraction	2.1	A	G0SFB5	494	1.0
5CXB	hetero_dimer	X-ray diffraction	2.1	B	G0SCK6	368	0.461
5K39	hetero_dimer	X-ray diffraction	1.98	A	Q06853	159	0.242
5K39	hetero_dimer	X-ray diffraction	1.98	B	A3DGE8	163	0.076
1NCA	hetero_dodecamer	X-ray diffraction	2.5	N	P03472	388	0.828
1NCA	hetero_dodecamer	X-ray diffraction	2.5	L	Not Mapped	Not Mapped	Not Mapped
1NCA	hetero_dodecamer	X-ray diffraction	2.5	H	P01865	99	0.251
1WQJ	hetero_dimer	X-ray diffraction	1.6	B	P22692	79	0.338
1WQJ	hetero_dimer	X-ray diffraction	1.6	I	P05019	69	0.402
1XGP	hetero_trimer	X-ray diffraction	2.1	A	P01837	106	1.0
1XGP	hetero_trimer	X-ray diffraction	2.1	B	Not Mapped	Not Mapped	Not Mapped
1XGP	hetero_trimer	X-ray diffraction	2.1	C	P00698	128	1.0
1XGQ	hetero_trimer	X-ray diffraction	2.1	A	P01837	106	1.0
1XGQ	hetero_trimer	X-ray diffraction	2.1	B	Not Mapped	Not Mapped	Not Mapped
1XGQ	hetero_trimer	X-ray diffraction	2.1	C	P00698	128	1.0
1XGR	hetero_trimer	X-ray diffraction	2.1	A	Not Mapped	Not Mapped	Not Mapped
1XGR	hetero_trimer	X-ray diffraction	2.1	B	Not Mapped	Not Mapped	Not Mapped
1XGR	hetero_trimer	X-ray diffraction	2.1	C	P00698	128	1.0
1XGT	hetero_trimer	X-ray diffraction	2.1	A	Not Mapped	Not Mapped	Not Mapped
1XGT	hetero_trimer	X-ray diffraction	2.1	B	Not Mapped	Not Mapped	Not Mapped
1XGT	hetero_trimer	X-ray diffraction	2.1	C	P00698	128	1.0
1XGU	hetero_trimer	X-ray diffraction	2.1	A	P01837	106	1.0
1XGU	hetero_trimer	X-ray diffraction	2.1	B	Not Mapped	Not Mapped	Not Mapped
1XGU	hetero_trimer	X-ray diffraction	2.1	C	P00698	128	1.0
2BTF	hetero_dimer	X-ray diffraction	2.55	A	P60712	373	0.997
2BTF	hetero_dimer	X-ray diffraction	2.55	P	P02584	138	0.993
2C5D	hetero_tetramer	X-ray diffraction	3.3	A	Q14393	417	0.645
2C5D	hetero_tetramer	X-ray diffraction	3.3	B	Q14393	417	0.645
2C5D	hetero_tetramer	X-ray diffraction	3.3	C	P30530	194	0.224
2C5D	hetero_tetramer	X-ray diffraction	3.3	D	P30530	194	0.224
2DSQ	hetero_trimer	X-ray diffraction	2.8	A	P22692	91	0.388
2DSQ	hetero_trimer	X-ray diffraction	2.8	B	P22692	91	0.388
2DSQ	hetero_trimer	X-ray diffraction	2.8	C	P05019	69	0.402
2DSQ	hetero_trimer	X-ray diffraction	2.8	I	P05019	69	0.402
2DSQ	hetero_trimer	X-ray diffraction	2.8	G	P08833	93	0.402
2DSQ	hetero_trimer	X-ray diffraction	2.8	H	P08833	93	0.402
3D3V	hetero_pentamer	X-ray diffraction	2.8	A	P04439	274	0.806
3D3V	hetero_pentamer	X-ray diffraction	2.8	B	P61769	98	1.0
3D3V	hetero_pentamer	X-ray diffraction	2.8	C	Not Mapped	Not Mapped	Not Mapped
3D3V	hetero_pentamer	X-ray diffraction	2.8	D	Not Mapped	Not Mapped	Not Mapped
3D3V	hetero_pentamer	X-ray diffraction	2.8	E	P01850	128	0.733
3LB6	hetero_dimer	X-ray diffraction	3.05	A	P35225	131	1.0
3LB6	hetero_dimer	X-ray diffraction	3.05	C	Q14627	379	1.0
3LB6	hetero_dimer	X-ray diffraction	3.05	B	P35225	131	1.0
3LB6	hetero_dimer	X-ray diffraction	3.05	D	Q14627	379	1.0
3W2D	hetero_trimer	X-ray diffraction	3.1	A	P01552	238	1.0
3W2D	hetero_trimer	X-ray diffraction	3.1	L	Not Mapped	Not Mapped	Not Mapped
3W2D	hetero_trimer	X-ray diffraction	3.1	H	Not Mapped	Not Mapped	Not Mapped
4FZA	hetero_dimer	X-ray diffraction	3.15	A	Q9Y376	323	0.95
4FZA	hetero_dimer	X-ray diffraction	3.15	B	Q9P289	279	0.673
4HRN	hetero_dimer	X-ray diffraction	2.65	A	Not Mapped	Not Mapped	Not Mapped
4HRN	hetero_dimer	X-ray diffraction	2.65	B	Not Mapped	Not Mapped	Not Mapped
4HRN	hetero_dimer	X-ray diffraction	2.65	C	P04626	96	0.079
4HRN	hetero_dimer	X-ray diffraction	2.65	D	P04626	96	0.079
4HSA	hetero_trimer	X-ray diffraction	3.15	A	Q16552	121	0.924
4HSA	hetero_trimer	X-ray diffraction	3.15	B	Q16552	121	0.924
4HSA	hetero_trimer	X-ray diffraction	3.15	D	Q16552	121	0.924
4HSA	hetero_trimer	X-ray diffraction	3.15	E	Q16552	121	0.924
4HSA	hetero_trimer	X-ray diffraction	3.15	C	Q96F46	285	0.342
4HSA	hetero_trimer	X-ray diffraction	3.15	F	Q96F46	285	0.342
4N8V	hetero_tetramer	X-ray diffraction	2.5	G	P43631	199	0.707
4N8V	hetero_tetramer	X-ray diffraction	2.5	I	P43631	199	0.707
4N8V	hetero_tetramer	X-ray diffraction	2.5	A	P04439	273	0.804
4N8V	hetero_tetramer	X-ray diffraction	2.5	D	P04439	273	0.804
4N8V	hetero_tetramer	X-ray diffraction	2.5	B	P61769	98	1.0
4N8V	hetero_tetramer	X-ray diffraction	2.5	E	P61769	98	1.0
4N8V	hetero_tetramer	X-ray diffraction	2.5	C	Q76ZQ3	8	0.1
4N8V	hetero_tetramer	X-ray diffraction	2.5	F	Q76ZQ3	8	0.1
4O27	hetero_trimer	X-ray diffraction	3.185	A	Q9Y376	322	0.947
4O27	hetero_trimer	X-ray diffraction	3.185	B	Q9Y6E0	279	0.632
4O27	hetero_trimer	X-ray diffraction	3.185	C	Q9Y6E0	4	0.011
4YEB	hetero_dimer	X-ray diffraction	3.19	A	Q80TS3	296	0.196
4YEB	hetero_dimer	X-ray diffraction	3.19	B	Q8BGT1	357	0.576
5UFE	hetero_dimer	X-ray diffraction	2.302	A	P01116	165	0.878
5UFE	hetero_dimer	X-ray diffraction	2.302	B	Not Mapped	Not Mapped	Not Mapped
1KBH	hetero_dimer	Solution NMR		A	Q9Y6Q9	46	0.033
1KBH	hetero_dimer	Solution NMR		B	P45481	58	0.024
1LP9	hetero_pentamer	X-ray diffraction	2.0	A	P04439	274	0.806
1LP9	hetero_pentamer	X-ray diffraction	2.0	H	P04439	274	0.806
1LP9	hetero_pentamer	X-ray diffraction	2.0	B	P61769	98	1.0
1LP9	hetero_pentamer	X-ray diffraction	2.0	I	P61769	98	1.0
1LP9	hetero_pentamer	X-ray diffraction	2.0	C	Q9NPA0	8	0.0
1LP9	hetero_pentamer	X-ray diffraction	2.0	J	Q9NPA0	8	0.0
1LP9	hetero_pentamer	X-ray diffraction	2.0	E	P01849	78	0.581
1LP9	hetero_pentamer	X-ray diffraction	2.0	L	P01849	78	0.581
1LP9	hetero_pentamer	X-ray diffraction	2.0	F	P04213	112	0.983
1LP9	hetero_pentamer	X-ray diffraction	2.0	M	P04213	112	0.983
1N8O	hetero_octamer	X-ray diffraction	2.0	A	P00766	12	0.053
1N8O	hetero_octamer	X-ray diffraction	2.0	B	P00766	130	0.535
1N8O	hetero_octamer	X-ray diffraction	2.0	C	P00766	96	0.396
1N8O	hetero_octamer	X-ray diffraction	2.0	E	P23827	141	1.0
1SBB	hetero_tetramer	X-ray diffraction	2.4	A	P01852	125	0.728
1SBB	hetero_tetramer	X-ray diffraction	2.4	C	P01852	125	0.728
1SBB	hetero_tetramer	X-ray diffraction	2.4	B	P01552	238	1.0
1SBB	hetero_tetramer	X-ray diffraction	2.4	D	P01552	238	1.0
2AW2	hetero_tetramer	X-ray diffraction	2.8	A	Q7Z6A9	111	0.413
2AW2	hetero_tetramer	X-ray diffraction	2.8	X	Q7Z6A9	111	0.413
2AW2	hetero_tetramer	X-ray diffraction	2.8	B	Q92956	103	0.424
2AW2	hetero_tetramer	X-ray diffraction	2.8	Y	Q92956	103	0.424
2B2X	hetero_trimer	X-ray diffraction	2.2	A	P18614	213	0.186
2B2X	hetero_trimer	X-ray diffraction	2.2	B	P18614	213	0.186
2B2X	hetero_trimer	X-ray diffraction	2.2	H	P01868	101	0.315
2B2X	hetero_trimer	X-ray diffraction	2.2	I	P01868	101	0.315
2B2X	hetero_trimer	X-ray diffraction	2.2	L	Not Mapped	Not Mapped	Not Mapped
2B2X	hetero_trimer	X-ray diffraction	2.2	M	Not Mapped	Not Mapped	Not Mapped
2B42	hetero_dimer	X-ray diffraction	2.5	A	Q8H0K8	380	1.0
2B42	hetero_dimer	X-ray diffraction	2.5	B	P18429	184	1.0
2C0L	hetero_dimer	X-ray diffraction	2.3	A	P50542	304	0.477
2C0L	hetero_dimer	X-ray diffraction	2.3	B	P22307	121	0.223
