	PDB	Chain ID	Molecule Type	Unnamed: 0	Uniprot ID	Chain	Covered Residues	Declared_Coverage	Length	Coverage	Resolution (Å)	Chain PDB ID
254	1XD3	C	polypeptide(L)	211.0	P15374	C	229.0	1.0	230.0	0.9956521739130436	1.45	1XD3_C
255	1XD3	B	polypeptide(L)	212.0	P0CG48	B	74.0	0.109	685.0	0.1080291970802919	1.45	1XD3_B
256	1XD3	D	polypeptide(L)	213.0	P0CG48	D	74.0	0.109	685.0	0.1080291970802919	1.45	1XD3_D
257	1FC2	C	polypeptide(L)	214.0	P38507	C	57.0	0.123	508.0	0.1122047244094488	2.8	1FC2_C
258	1FC2	D	polypeptide(L)	215.0	P01857	D	222.0	0.559	399.0	0.556390977443609	2.8	1FC2_D
259	5C6T	A	polypeptide(L)	216.0	P13201	A	611.0	0.692	907.0	0.6736493936052922	3.6	5C6T_A
260	5C6T	H	polypeptide(L)									5C6T_H
261	5C6T	L	polypeptide(L)									5C6T_L
262	1Z7X	X	polypeptide(L)	219.0	P07998	X	127.0	1.0	156.0	0.8141025641025641	1.95	1Z7X_X
263	1Z7X	Z	polypeptide(L)	220.0	P07998	Z	127.0	1.0	156.0	0.8141025641025641	1.95	1Z7X_Z
264	1Z7X	W	polypeptide(L)	217.0	P13489	W	460.0	1.0	461.0	0.9978308026030368	1.95	1Z7X_W
265	1Z7X	Y	polypeptide(L)	218.0	P13489	Y	460.0	1.0	461.0	0.9978308026030368	1.95	1Z7X_Y
266	3SE3	A	polypeptide(L)	221.0	P17181	A	408.0	0.772	557.0	0.7324955116696589	4.0001	3SE3_A
267	3SE3	B	polypeptide(L)	222.0	P01563	B	164.0	1.0	188.0	0.8723404255319149	4.0001	3SE3_B
268	3SE3	C	polypeptide(L)	223.0	P48551	C	198.0	0.407	515.0	0.3844660194174757	4.0001	3SE3_C
269	1TM1	E	polypeptide(L)	224.0	P00782	E	274.0	0.781	382.0	0.7172774869109948	1.7	1TM1_E
270	1TM1	I	polypeptide(L)	225.0	Q40059	I	63.0	0.762	84.0	0.75	1.7	1TM1_I
271	1E50	A	polypeptide(L)	226.0	Q01196	A	133.0	0.296	453.0	0.293598233995585	2.6	1E50_A
272	1E50	C	polypeptide(L)	227.0	Q01196	C	133.0	0.296	453.0	0.293598233995585	2.6	1E50_C
273	1E50	E	polypeptide(L)	228.0	Q01196	E	133.0	0.296	453.0	0.293598233995585	2.6	1E50_E
274	1E50	G	polypeptide(L)	229.0	Q01196	G	133.0	0.296	453.0	0.293598233995585	2.6	1E50_G
275	1E50	Q	polypeptide(L)	230.0	Q01196	Q	133.0	0.296	453.0	0.293598233995585	2.6	1E50_Q
276	1E50	R	polypeptide(L)	231.0	Q01196	R	133.0	0.296	453.0	0.293598233995585	2.6	1E50_R
277	1E50	B	polypeptide(L)	232.0	Q13951	B	133.0	0.736	182.0	0.7307692307692307	2.6	1E50_B
278	1E50	D	polypeptide(L)	233.0	Q13951	D	133.0	0.736	182.0	0.7307692307692307	2.6	1E50_D
279	1E50	F	polypeptide(L)	234.0	Q13951	F	133.0	0.736	182.0	0.7307692307692307	2.6	1E50_F
280	1E50	H	polypeptide(L)	235.0	Q13951	H	133.0	0.736	182.0	0.7307692307692307	2.6	1E50_H
281	1YY9	A	polypeptide(L)	236.0	P00533	A	617.0	0.521	1210.0	0.5099173553719009	2.605	1YY9_A
282	1YY9	C	polypeptide(L)									1YY9_C
283	1YY9	D	polypeptide(L)									1YY9_D
284	1AK4	A	polypeptide(L)	237.0	P62937	A	164.0	1.0	165.0	0.993939393939394	2.36	1AK4_A
285	1AK4	B	polypeptide(L)	238.0	P62937	B	164.0	1.0	165.0	0.993939393939394	2.36	1AK4_B
286	1AK4	C	polypeptide(L)	239.0	P12497	C	144.0	0.101	1435.0	0.1003484320557491	2.36	1AK4_C
287	1AK4	D	polypeptide(L)	240.0	P12497	D	144.0	0.101	1435.0	0.1003484320557491	2.36	1AK4_D
288	2J0T	A	polypeptide(L)	241.0	P03956	A	168.0	0.376	469.0	0.3582089552238806	2.54	2J0T_A
289	2J0T	B	polypeptide(L)	242.0	P03956	B	168.0	0.376	469.0	0.3582089552238806	2.54	2J0T_B
290	2J0T	C	polypeptide(L)	243.0	P03956	C	168.0	0.376	469.0	0.3582089552238806	2.54	2J0T_C
291	2J0T	D	polypeptide(L)	244.0	P01033	D	125.0	0.685	207.0	0.6038647342995169	2.54	2J0T_D
292	2J0T	E	polypeptide(L)	245.0	P01033	E	125.0	0.685	207.0	0.6038647342995169	2.54	2J0T_E
293	2J0T	F	polypeptide(L)	246.0	P01033	F	125.0	0.685	207.0	0.6038647342995169	2.54	2J0T_F
294	3QDJ	A	polypeptide(L)	247.0	P04439	A	274.0	0.806	365.0	0.7506849315068493	2.3	3QDJ_A
295	3QDJ	B	polypeptide(L)	248.0	P61769	B	98.0	1.0	119.0	0.8235294117647058	2.3	3QDJ_B
296	3QDJ	C	polypeptide(L)									3QDJ_C
297	3QDJ	D	polypeptide(L)	249.0	P01848	D	88.0	0.636	140.0	0.6285714285714286	2.3	3QDJ_D
298	3QDJ	E	polypeptide(L)									3QDJ_E
299	1C1Y	A	polypeptide(L)	250.0	P62834	A	166.0	0.908	184.0	0.9021739130434784	1.9	1C1Y_A
300	1C1Y	B	polypeptide(L)	251.0	P04049	B	76.0	0.119	648.0	0.1172839506172839	1.9	1C1Y_B
301	5M2O	A	polypeptide(L)	252.0	A0AEF4	A	145.0	0.071	2071.0	0.0700144857556736	1.26	5M2O_A
302	5M2O	B	polypeptide(L)									5M2O_B
303	3QDG	A	polypeptide(L)	253.0	P04439	A	274.0	0.806	365.0	0.7506849315068493	2.69	3QDG_A
304	3QDG	B	polypeptide(L)	254.0	P61769	B	98.0	1.0	119.0	0.8235294117647058	2.69	3QDG_B
305	3QDG	C	polypeptide(L)									3QDG_C
306	3QDG	D	polypeptide(L)	255.0	P01848	D	88.0	0.636	140.0	0.6285714285714286	2.69	3QDG_D
307	3QDG	E	polypeptide(L)									3QDG_E
308	1KNE	A	polypeptide(L)	256.0	P05205	A	59.0	0.291	206.0	0.2864077669902912	2.4	1KNE_A
309	1KNE	P	polypeptide(L)	257.0	P02299	P	15.0	0.118	136.0	0.1102941176470588	2.4	1KNE_P
310	5F4E	A	polypeptide(L)	258.0	Q8IYV9	A	232.0	0.708	350.0	0.6628571428571428	2.4	5F4E_A
311	5F4E	B	polypeptide(L)	259.0	A6ND01	B	208.0	0.905	250.0	0.832	2.4	5F4E_B
312	3BK3	A	polypeptide(L)	260.0	P12643	A	113.0	0.306	396.0	0.2853535353535353	2.7	3BK3_A
313	3BK3	B	polypeptide(L)	261.0	P12643	B	113.0	0.306	396.0	0.2853535353535353	2.7	3BK3_B
314	3BK3	C	polypeptide(L)	262.0	Q5D734	C	65.0	0.103	668.0	0.0973053892215568	2.7	3BK3_C
315	3BK3	D	polypeptide(L)	263.0	Q5D734	D	65.0	0.103	668.0	0.0973053892215568	2.7	3BK3_D
316	1N8Z	A	polypeptide(L)									1N8Z_A
317	1N8Z	B	polypeptide(L)									1N8Z_B
318	1N8Z	C	polypeptide(L)	264.0	P04626	C	606.0	0.492	1255.0	0.4828685258964143	2.52	1N8Z_C
319	4I77	H	polypeptide(L)									4I77_H
320	4I77	L	polypeptide(L)									4I77_L
321	4I77	Z	polypeptide(L)	265.0	P35225	Z	111.0	0.918	146.0	0.7602739726027398	1.9	4I77_Z
322	1F47	B	polypeptide(L)	267.0	P77173	B	143.0	0.439	328.0	0.4359756097560975	1.95	1F47_B
323	1F47	A	polypeptide(L)	266.0	P0A9A6	A	16.0	0.044	383.0	0.04177545691906	1.95	1F47_A
324	4OZG	A	polypeptide(L)	268.0	P01909	A	182.0	0.792	254.0	0.7165354330708661	3.0	4OZG_A
325	4OZG	C	polypeptide(L)	269.0	P01909	C	182.0	0.792	254.0	0.7165354330708661	3.0	4OZG_C
326	4OZG	B	polypeptide(L)	270.0	P01920	B	191.0	0.838	261.0	0.7318007662835249	3.0	4OZG_B
327	4OZG	D	polypeptide(L)	271.0	P01920	D	191.0	0.838	261.0	0.7318007662835249	3.0	4OZG_D
328	4OZG	E	polypeptide(L)	272.0	Q2YD82	E	193.0	0.805	241.0	0.8008298755186722	3.0	4OZG_E
329	4OZG	G	polypeptide(L)	273.0	Q2YD82	G	193.0	0.805	241.0	0.8008298755186722	3.0	4OZG_G
330	4OZG	F	polypeptide(L)	274.0	P01850	F	128.0	0.733	176.0	0.7272727272727273	3.0	4OZG_F
331	4OZG	H	polypeptide(L)	275.0	P01850	H	128.0	0.733	176.0	0.7272727272727273	3.0	4OZG_H
332	4OZG	I	polypeptide(L)	276.0	P04722	I	9.0	0.037	291.0	0.0309278350515463	3.0	4OZG_I
333	4OZG	J	polypeptide(L)	277.0	P04722	J	9.0	0.037	291.0	0.0309278350515463	3.0	4OZG_J
334	1GUA	A	polypeptide(L)	278.0	P62834	A	166.0	0.908	184.0	0.9021739130434784	2.0	1GUA_A
335	1GUA	B	polypeptide(L)	279.0	P04049	B	80.0	0.125	648.0	0.1234567901234567	2.0	1GUA_B
336	2BDN	A	polypeptide(L)	280.0	P13500	A	75.0	1.0	99.0	0.7575757575757576	2.53	2BDN_A
337	2BDN	L	polypeptide(L)									2BDN_L
338	2BDN	H	polypeptide(L)									2BDN_H
339	5XCO	A	polypeptide(L)	281.0	P01116	A	168.0	0.894	189.0	0.8888888888888888	1.25	5XCO_A
340	5XCO	B	polypeptide(L)									5XCO_B
341	3Q8D	A	polypeptide(L)	282.0	P0A7H3	A	241.0	1.0	242.0	0.9958677685950412	2.3	3Q8D_A
342	3Q8D	B	polypeptide(L)	283.0	P0A7H3	B	241.0	1.0	242.0	0.9958677685950412	2.3	3Q8D_B
343	3Q8D	E	polypeptide(L)	284.0	P0AGE0	E	8.0	0.051	178.0	0.0449438202247191	2.3	3Q8D_E
344	3Q8D	F	polypeptide(L)	285.0	P0AGE0	F	8.0	0.051	178.0	0.0449438202247191	2.3	3Q8D_F
345	3EQY	A	polypeptide(L)	286.0	O15151	A	84.0	0.173	490.0	0.1714285714285714	1.63	3EQY_A
346	3EQY	B	polypeptide(L)	287.0	O15151	B	84.0	0.173	490.0	0.1714285714285714	1.63	3EQY_B
347	3EQY	C	polypeptide(L)									3EQY_C
348	3EQY	D	polypeptide(L)									3EQY_D
349	4OFY	A	polypeptide(L)	288.0	B1Q236	A	252.0	0.355	730.0	0.3452054794520548	3.3	4OFY_A
350	4OFY	B	polypeptide(L)	289.0	B1Q236	B	252.0	0.355	730.0	0.3452054794520548	3.3	4OFY_B
351	4OFY	C	polypeptide(L)	290.0	B1Q236	C	252.0	0.355	730.0	0.3452054794520548	3.3	4OFY_C
352	4OFY	D	polypeptide(L)	291.0	Q9U3P2	D	410.0	0.329	1270.0	0.3228346456692913	3.3	4OFY_D
353	4OFY	E	polypeptide(L)	292.0	Q9U3P2	E	410.0	0.329	1270.0	0.3228346456692913	3.3	4OFY_E
354	4OFY	F	polypeptide(L)	293.0	Q9U3P2	F	410.0	0.329	1270.0	0.3228346456692913	3.3	4OFY_F
355	4BFI	A	polypeptide(L)	294.0	Q9ES57	A	202.0	0.674	326.0	0.6196319018404908	3.22	4BFI_A
356	4BFI	B	polypeptide(L)	295.0	O54901	B	201.0	0.815	278.0	0.7230215827338129	3.22	4BFI_B
357	1MLC	A	polypeptide(L)	296.0	P01837	A	106.0	1.0	107.0	0.9906542056074766	2.5	1MLC_A
358	1MLC	C	polypeptide(L)	297.0	P01837	C	106.0	1.0	107.0	0.9906542056074766	2.5	1MLC_C
359	1MLC	B	polypeptide(L)	298.0	P01868	B	101.0	0.315	324.0	0.3117283950617284	2.5	1MLC_B
360	1MLC	D	polypeptide(L)	299.0	P01868	D	101.0	0.315	324.0	0.3117283950617284	2.5	1MLC_D
361	1MLC	E	polypeptide(L)	300.0	P00698	E	128.0	1.0	147.0	0.8707482993197279	2.5	1MLC_E
362	1MLC	F	polypeptide(L)	301.0	P00698	F	128.0	1.0	147.0	0.8707482993197279	2.5	1MLC_F
363	3M63	A	polypeptide(L)	302.0	P54860	A	960.0	1.0	961.0	0.9989594172736732	2.4	3M63_A
364	3M63	B	polypeptide(L)	303.0	P48510	B	74.0	0.201	373.0	0.1983914209115281	2.4	3M63_B
365	3AAA	A	polypeptide(L)	304.0	P13127	A	285.0	1.0	286.0	0.9965034965034965	2.2	3AAA_A
366	3AAA	B	polypeptide(L)	305.0	P14315	B	276.0	1.0	277.0	0.9963898916967509	2.2	3AAA_B
367	3AAA	C	polypeptide(L)	306.0	P58546	C	117.0	1.0	118.0	0.9915254237288136	2.2	3AAA_C
368	3MZG	A	polypeptide(L)	307.0	P01236	A	184.0	0.93	227.0	0.8105726872246696	2.1	3MZG_A
369	3MZG	B	polypeptide(L)	308.0	P16471	B	209.0	0.351	622.0	0.3360128617363344	2.1	3MZG_B
370	2SIC	E	polypeptide(L)	309.0	P00782	E	274.0	0.781	382.0	0.7172774869109948	1.8	2SIC_E
371	2SIC	I	polypeptide(L)	310.0	P01006	I	106.0	0.947	144.0	0.7361111111111112	1.8	2SIC_I
372	1JCK	A	polypeptide(L)									1JCK_A
373	1JCK	C	polypeptide(L)									1JCK_C
374	1JCK	B	polypeptide(L)	311.0	P0A0L5	B	238.0	1.0	266.0	0.8947368421052632	3.5	1JCK_B
375	1JCK	D	polypeptide(L)	312.0	P0A0L5	D	238.0	1.0	266.0	0.8947368421052632	3.5	1JCK_D
376	3EQS	A	polypeptide(L)	313.0	Q00987	A	84.0	0.173	491.0	0.1710794297352342	1.65	3EQS_A
377	3EQS	B	polypeptide(L)									3EQS_B
378	1BJ1	J	polypeptide(L)									1BJ1_J
379	1BJ1	L	polypeptide(L)									1BJ1_L
380	1BJ1	H	polypeptide(L)									1BJ1_H
381	1BJ1	K	polypeptide(L)									1BJ1_K
382	1BJ1	V	polypeptide(L)	314.0	P15692	V	101.0	0.258	395.0	0.2556962025316455	2.4	1BJ1_V
383	1BJ1	W	polypeptide(L)	315.0	P15692	W	101.0	0.258	395.0	0.2556962025316455	2.4	1BJ1_W
384	1MAH	A	polypeptide(L)	316.0	P21836	A	542.0	0.931	614.0	0.8827361563517915	3.2	1MAH_A
385	1MAH	F	polypeptide(L)	317.0	P0C1Z0	F	60.0	1.0	61.0	0.9836065573770492	3.2	1MAH_F
386	1BD2	A	polypeptide(L)	318.0	P04439	A	274.0	0.806	365.0	0.7506849315068493	2.5	1BD2_A
387	1BD2	B	polypeptide(L)	319.0	P61769	B	98.0	1.0	119.0	0.8235294117647058	2.5	1BD2_B
388	1BD2	C	polypeptide(L)	320.0	P0C213	C	8.0	0.025	353.0	0.0226628895184136	2.5	1BD2_C
389	1BD2	D	polypeptide(L)	321.0	P04437	D	90.0	0.929	119.0	0.7563025210084033	2.5	1BD2_D
390	1BD2	D	polypeptide(L)	322.0	P01848	D	92.0	0.664	140.0	0.6571428571428571	2.5	1BD2_D
391	1BD2	E	polypeptide(L)	323.0	A0A0K0K1A5	E	94.0	1.0	114.0	0.8245614035087719	2.5	1BD2_E
392	1BD2	E	polypeptide(L)	324.0	A0A5B9	E	128.0	0.725	178.0	0.7191011235955056	2.5	1BD2_E
393	1AHW	A	polypeptide(L)	325.0	P01837	A	106.0	1.0	107.0	0.9906542056074766	3.0	1AHW_A
394	1AHW	D	polypeptide(L)	326.0	P01837	D	106.0	1.0	107.0	0.9906542056074766	3.0	1AHW_D
395	1AHW	B	polypeptide(L)	327.0	P01868	B	96.0	0.299	324.0	0.2962962962962963	3.0	1AHW_B
396	1AHW	E	polypeptide(L)	328.0	P01868	E	96.0	0.299	324.0	0.2962962962962963	3.0	1AHW_E
397	1AHW	C	polypeptide(L)	329.0	P13726	C	218.0	0.833	295.0	0.7389830508474576	3.0	1AHW_C
398	1AHW	F	polypeptide(L)	330.0	P13726	F	218.0	0.833	295.0	0.7389830508474576	3.0	1AHW_F
399	4NM8	A	polypeptide(L)	331.0	Q91MA7	A	318.0	0.58	566.0	0.5618374558303887	4.0041	4NM8_A
400	4NM8	C	polypeptide(L)	333.0	Q91MA7	C	318.0	0.58	566.0	0.5618374558303887	4.0041	4NM8_C
401	4NM8	E	polypeptide(L)	335.0	Q91MA7	E	318.0	0.58	566.0	0.5618374558303887	4.0041	4NM8_E
402	4NM8	B	polypeptide(L)	332.0	Q91MA7	B	175.0	0.32	566.0	0.3091872791519434	4.0041	4NM8_B
403	4NM8	D	polypeptide(L)	334.0	Q91MA7	D	175.0	0.32	566.0	0.3091872791519434	4.0041	4NM8_D
404	4NM8	F	polypeptide(L)	336.0	Q91MA7	F	175.0	0.32	566.0	0.3091872791519434	4.0041	4NM8_F
405	4NM8	L	polypeptide(L)	340.0	P01834	L	106.0	1.0	107.0	0.9906542056074766	4.0041	4NM8_L
406	4NM8	M	polypeptide(L)	341.0	P01834	M	106.0	1.0	107.0	0.9906542056074766	4.0041	4NM8_M
407	4NM8	N	polypeptide(L)	342.0	P01834	N	106.0	1.0	107.0	0.9906542056074766	4.0041	4NM8_N
408	4NM8	H	polypeptide(L)	337.0	S6C4S0	H	225.0	0.875	275.0	0.8181818181818182	4.0041	4NM8_H
409	4NM8	I	polypeptide(L)	338.0	S6C4S0	I	225.0	0.875	275.0	0.8181818181818182	4.0041	4NM8_I
410	4NM8	J	polypeptide(L)	339.0	S6C4S0	J	225.0	0.875	275.0	0.8181818181818182	4.0041	4NM8_J
411	3N85	A	polypeptide(L)	343.0	P04626	A	623.0	0.506	1255.0	0.4964143426294821	3.2	3N85_A
412	3N85	L	polypeptide(L)									3N85_L
413	3N85	H	polypeptide(L)									3N85_H
414	4B0M	A	polypeptide(L)	344.0	P26949	A	135.0	0.165	833.0	0.1620648259303721	1.8	4B0M_A
415	4B0M	B	polypeptide(L)	345.0	P26948	B	148.0	1.0	170.0	0.8705882352941177	1.8	4B0M_B
416	4B0M	M	polypeptide(L)	346.0	P26926	M	234.0	0.987	258.0	0.9069767441860463	1.8	4B0M_M
417	4CPA	A	polypeptide(L)	347.0	P00730	A	306.0	0.762	419.0	0.7303102625298329	2.5	4CPA_A
418	4CPA	B	polypeptide(L)	348.0	P00730	B	306.0	0.762	419.0	0.7303102625298329	2.5	4CPA_B
419	4CPA	I	polypeptide(L)	349.0	P01075	I	37.0	0.974	39.0	0.9487179487179488	2.5	4CPA_I
420	4CPA	J	polypeptide(L)	350.0	P01075	J	37.0	0.974	39.0	0.9487179487179488	2.5	4CPA_J
421	1FCC	A	polypeptide(L)	351.0	P01857	A	205.0	0.516	399.0	0.5137844611528822	3.2	1FCC_A
422	1FCC	B	polypeptide(L)	352.0	P01857	B	205.0	0.516	399.0	0.5137844611528822	3.2	1FCC_B
423	1FCC	C	polypeptide(L)	353.0	P19909	C	55.0	0.1	593.0	0.0927487352445193	3.2	1FCC_C
424	1FCC	D	polypeptide(L)	354.0	P19909	D	55.0	0.1	593.0	0.0927487352445193	3.2	1FCC_D
425	5E9D	A	polypeptide(L)	355.0	P04439	A	274.0	0.806	365.0	0.7506849315068493	2.51	5E9D_A
426	5E9D	F	polypeptide(L)	356.0	P04439	F	274.0	0.806	365.0	0.7506849315068493	2.51	5E9D_F
427	5E9D	B	polypeptide(L)	357.0	P61769	B	98.0	1.0	119.0	0.8235294117647058	2.51	5E9D_B
428	5E9D	G	polypeptide(L)	358.0	P61769	G	98.0	1.0	119.0	0.8235294117647058	2.51	5E9D_G
429	5E9D	C	polypeptide(L)	359.0	Q16655	C	9.0	0.085	118.0	0.0762711864406779	2.51	5E9D_C
430	5E9D	H	polypeptide(L)	360.0	Q16655	H	9.0	0.085	118.0	0.0762711864406779	2.51	5E9D_H
431	5E9D	D	polypeptide(L)	361.0	A0A075B6T6	D	90.0	0.978	113.0	0.7964601769911505	2.51	5E9D_D
432	5E9D	I	polypeptide(L)	362.0	A0A075B6T6	I	90.0	0.978	113.0	0.7964601769911505	2.51	5E9D_I
433	5E9D	E	polypeptide(L)	363.0	A0A0K0K1A5	E	92.0	0.978	114.0	0.8070175438596491	2.51	5E9D_E
434	5E9D	J	polypeptide(L)	364.0	A0A0K0K1A5	J	92.0	0.978	114.0	0.8070175438596491	2.51	5E9D_J
435	4JPK	H	polypeptide(L)									4JPK_H
436	4JPK	L	polypeptide(L)									4JPK_L
437	4JPK	A	polypeptide(L)	365.0	P04578	A	145.0	0.141	856.0	0.169392523364486	2.4	4JPK_A
438	4HFK	A	polypeptide(L)	366.0	A0A0H3CIJ2	A	162.0	1.0	163.0	0.9938650306748468	2.1	4HFK_A
439	4HFK	C	polypeptide(L)	367.0	A0A0H3CIJ2	C	162.0	1.0	163.0	0.9938650306748468	2.1	4HFK_C
440	4HFK	B	polypeptide(L)	368.0	A0A0H3CIX8	B	98.0	1.0	117.0	0.8376068376068376	2.1	4HFK_B
441	4HFK	D	polypeptide(L)	369.0	A0A0H3CIX8	D	98.0	1.0	117.0	0.8376068376068376	2.1	4HFK_D
442	5TAR	A	polypeptide(L)	370.0	P01116	A	184.0	0.974	189.0	0.9735449735449736	1.9	5TAR_A
443	5TAR	B	polypeptide(L)	371.0	O43924	B	147.0	0.987	150.0	0.98	1.9	5TAR_B
444	1NMB	N	polypeptide(L)	372.0	P05803	N	469.0	1.0	470.0	0.997872340425532	2.2	1NMB_N
445	1NMB	L	polypeptide(L)									1NMB_L
446	1NMB	H	polypeptide(L)									1NMB_H
447	4CVW	A	polypeptide(L)	373.0	O48541	A	481.0	0.977	904.0	0.5320796460176991	2.67	4CVW_A
448	4CVW	A	polypeptide(L)	374.0	O48541	A	400.0	0.977	904.0	0.4424778761061947	2.67	4CVW_A
449	4CVW	B	polypeptide(L)	375.0	O48541	B	481.0	0.977	904.0	0.5320796460176991	2.67	4CVW_B
450	4CVW	B	polypeptide(L)	376.0	O48541	B	400.0	0.977	904.0	0.4424778761061947	2.67	4CVW_B
451	4CVW	C	polypeptide(L)	377.0	Q2V8X0	C	113.0	0.927	147.0	0.7687074829931972	2.67	4CVW_C
452	4CVW	D	polypeptide(L)	378.0	Q2V8X0	D	113.0	0.927	147.0	0.7687074829931972	2.67	4CVW_D
453	5E6P	A	polypeptide(L)	379.0	B2RXS4	A	616.0	0.338	1842.0	0.3344191096634093	3.215	5E6P_A
454	5E6P	B	polypeptide(L)	380.0	O15085	B	83.0	0.055	1522.0	0.0545335085413929	3.215	5E6P_B
455	2O3B	A	polypeptide(L)	381.0	P38446	A	239.0	0.96	274.0	0.8722627737226277	2.3	2O3B_A
456	2O3B	B	polypeptide(L)	382.0	A0ACD6B9A1	B	133.0	0.993	135.0	0.9851851851851852	2.3	2O3B_B
457	4L3E	A	polypeptide(L)	383.0	P04439	A	274.0	0.806	365.0	0.7506849315068493	2.557	4L3E_A
458	4L3E	B	polypeptide(L)	384.0	P61769	B	98.0	1.0	119.0	0.8235294117647058	2.557	4L3E_B
459	4L3E	C	polypeptide(L)	385.0	Q16655	C	9.0	0.085	118.0	0.0762711864406779	2.557	4L3E_C
460	4L3E	D	polypeptide(L)									4L3E_D
461	4L3E	E	polypeptide(L)									4L3E_E
462	2AJF	A	polypeptide(L)	386.0	Q9BYF1	A	596.0	0.758	805.0	0.7403726708074534	2.9	2AJF_A
463	2AJF	B	polypeptide(L)	387.0	Q9BYF1	B	596.0	0.758	805.0	0.7403726708074534	2.9	2AJF_B
464	2AJF	E	polypeptide(L)	388.0	P59594	E	179.0	0.145	1255.0	0.1426294820717131	2.9	2AJF_E
465	2AJF	F	polypeptide(L)	389.0	P59594	F	179.0	0.145	1255.0	0.1426294820717131	2.9	2AJF_F
466	2B0U	A	polypeptide(L)	390.0	P08476	A	115.0	0.286	426.0	0.2699530516431925	2.8	2B0U_A
467	2B0U	B	polypeptide(L)	391.0	P08476	B	115.0	0.286	426.0	0.2699530516431925	2.8	2B0U_B
468	2B0U	C	polypeptide(L)	392.0	P19883	C	287.0	0.914	344.0	0.8343023255813954	2.8	2B0U_C
469	2B0U	D	polypeptide(L)	393.0	P19883	D	287.0	0.914	344.0	0.8343023255813954	2.8	2B0U_D
470	1GCQ	A	polypeptide(L)	394.0	P62993	A	58.0	0.272	217.0	0.2672811059907834	1.68	1GCQ_A
471	1GCQ	B	polypeptide(L)	395.0	P62993	B	58.0	0.272	217.0	0.2672811059907834	1.68	1GCQ_B
472	1GCQ	C	polypeptide(L)	396.0	P27870	C	65.0	0.078	845.0	0.0769230769230769	1.68	1GCQ_C
473	3SEK	B	polypeptide(L)	397.0	O08689	B	108.0	0.31	376.0	0.2872340425531915	2.401	3SEK_B
474	3SEK	C	polypeptide(L)	398.0	O95633	C	208.0	0.882	263.0	0.7908745247148289	2.401	3SEK_C
475	3F1S	A	polypeptide(L)	399.0	Q9UK55	A	384.0	0.91	444.0	0.8648648648648649	2.3	3F1S_A
476	3F1S	B	polypeptide(L)	400.0	P22891	B	275.0	0.732	400.0	0.6875	2.3	3F1S_B
477	3HH2	A	polypeptide(L)	401.0	O08689	A	108.0	0.31	376.0	0.2872340425531915	2.15	3HH2_A
478	3HH2	B	polypeptide(L)	402.0	O08689	B	108.0	0.31	376.0	0.2872340425531915	2.15	3HH2_B
479	3HH2	C	polypeptide(L)	403.0	P19883	C	287.0	0.914	344.0	0.8343023255813954	2.15	3HH2_C
480	3HH2	D	polypeptide(L)	404.0	P19883	D	287.0	0.914	344.0	0.8343023255813954	2.15	3HH2_D
481	3B4V	A	polypeptide(L)	405.0	P08476	A	115.0	0.286	426.0	0.2699530516431925	2.48	3B4V_A
482	3B4V	B	polypeptide(L)	406.0	P08476	B	115.0	0.286	426.0	0.2699530516431925	2.48	3B4V_B
483	3B4V	E	polypeptide(L)	407.0	P08476	E	115.0	0.286	426.0	0.2699530516431925	2.48	3B4V_E
484	3B4V	F	polypeptide(L)	408.0	P08476	F	115.0	0.286	426.0	0.2699530516431925	2.48	3B4V_F
485	3B4V	C	polypeptide(L)	409.0	O95633	C	236.0	1.0	263.0	0.8973384030418251	2.48	3B4V_C
486	3B4V	D	polypeptide(L)	410.0	O95633	D	236.0	1.0	263.0	0.8973384030418251	2.48	3B4V_D
487	3B4V	G	polypeptide(L)	411.0	O95633	G	236.0	1.0	263.0	0.8973384030418251	2.48	3B4V_G
488	3B4V	H	polypeptide(L)	412.0	O95633	H	236.0	1.0	263.0	0.8973384030418251	2.48	3B4V_H
489	3BX1	A	polypeptide(L)	413.0	P29600	A	268.0	1.0	269.0	0.9962825278810408	1.85	3BX1_A
490	3BX1	B	polypeptide(L)	414.0	P29600	B	268.0	1.0	269.0	0.9962825278810408	1.85	3BX1_B
491	3BX1	C	polypeptide(L)	415.0	P07596	C	180.0	1.0	203.0	0.8866995073891626	1.85	3BX1_C
492	3BX1	D	polypeptide(L)	416.0	P07596	D	180.0	1.0	203.0	0.8866995073891626	1.85	3BX1_D
493	4L0P	A	polypeptide(L)	417.0	P29320	A	172.0	0.18	983.0	0.1749745676500508	2.26	4L0P_A
494	4L0P	B	polypeptide(L)	418.0	P52803	B	139.0	0.673	228.0	0.6096491228070176	2.26	4L0P_B
495	1E96	A	polypeptide(L)	419.0	P63000	A	190.0	0.995	192.0	0.9895833333333334	2.4	1E96_A
496	1E96	B	polypeptide(L)	420.0	P19878	B	202.0	0.386	526.0	0.3840304182509506	2.4	1E96_B
497	1ACB	E	polypeptide(L)	421.0	P00766	E	244.0	1.0	245.0	0.9959183673469388	2.0	1ACB_E
498	1ACB	I	polypeptide(L)	422.0	P01051	I	69.0	1.0	70.0	0.9857142857142858	2.0	1ACB_I
499	4K71	A	polypeptide(L)	423.0	P02768	A	584.0	0.99	609.0	0.9589490968801314	2.4	4K71_A
500	4K71	D	polypeptide(L)	424.0	P02768	D	584.0	0.99	609.0	0.9589490968801314	2.4	4K71_D
